[cfg] {"img_size": 224, "batch_size": 64, "num_workers": 8, "epochs": 60, "lr": 0.0003, "weight_decay": 1e-06, "momentum_base": 0.996, "max_images": null, "save_every": 5, "no_amp": false, "smoke": false}
[env] device=cuda, torch=2.6.0+cu124
[env] GPU=NVIDIA GeForce RTX 3060 Laptop GPU, VRAM=6.4 GB
[data] tong so anh: 112120
[model] trainable params = 12.49 M
[env] AMP = True
  [ep 1 step 0/1751] loss=2.0318
  [ep 1 step 50/1751] loss=0.7521
  [ep 1 step 100/1751] loss=0.6730
  [ep 1 step 150/1751] loss=0.6100
  [ep 1 step 200/1751] loss=0.4261
  [ep 1 step 250/1751] loss=0.3544
  [ep 1 step 300/1751] loss=0.3939
  [ep 1 step 350/1751] loss=0.2936
  [ep 1 step 400/1751] loss=0.3485
  [ep 1 step 450/1751] loss=0.2467
  [ep 1 step 500/1751] loss=0.1680
  [ep 1 step 550/1751] loss=0.2082
  [ep 1 step 600/1751] loss=0.1389
  [ep 1 step 650/1751] loss=0.1524
  [ep 1 step 700/1751] loss=0.1598
  [ep 1 step 750/1751] loss=0.1224
  [ep 1 step 800/1751] loss=0.1615
  [ep 1 step 850/1751] loss=0.1172
  [ep 1 step 900/1751] loss=0.0995
  [ep 1 step 950/1751] loss=0.1421
  [ep 1 step 1000/1751] loss=0.0625
  [ep 1 step 1050/1751] loss=0.1299
  [ep 1 step 1100/1751] loss=0.0902
  [ep 1 step 1150/1751] loss=0.0799
  [ep 1 step 1200/1751] loss=0.0676
  [ep 1 step 1250/1751] loss=0.0815
  [ep 1 step 1300/1751] loss=0.0893
  [ep 1 step 1350/1751] loss=0.0788
  [ep 1 step 1400/1751] loss=0.0757
  [ep 1 step 1450/1751] loss=0.0743
  [ep 1 step 1500/1751] loss=0.0797
  [ep 1 step 1550/1751] loss=0.0859
  [ep 1 step 1600/1751] loss=0.0738
  [ep 1 step 1650/1751] loss=0.0666
  [ep 1 step 1700/1751] loss=0.0654
  [ep 1 step 1750/1751] loss=0.0791
[ep 001/60] avg_loss=0.2081 momentum=0.9960 time=12.8min eta=755min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 2 step 0/1751] loss=0.0727
  [ep 2 step 50/1751] loss=0.0634
  [ep 2 step 100/1751] loss=0.0639
  [ep 2 step 150/1751] loss=0.0573
  [ep 2 step 200/1751] loss=0.0546
  [ep 2 step 250/1751] loss=0.0783
  [ep 2 step 300/1751] loss=0.0556
  [ep 2 step 350/1751] loss=0.0492
  [ep 2 step 400/1751] loss=0.0512
  [ep 2 step 450/1751] loss=0.0579
  [ep 2 step 500/1751] loss=0.0517
  [ep 2 step 550/1751] loss=0.0770
  [ep 2 step 600/1751] loss=0.0619
  [ep 2 step 650/1751] loss=0.0429
  [ep 2 step 700/1751] loss=0.0577
  [ep 2 step 750/1751] loss=0.0538
  [ep 2 step 800/1751] loss=0.0575
  [ep 2 step 850/1751] loss=0.0445
  [ep 2 step 900/1751] loss=0.0452
  [ep 2 step 950/1751] loss=0.0583
  [ep 2 step 1000/1751] loss=0.0518
  [ep 2 step 1050/1751] loss=0.0631
  [ep 2 step 1100/1751] loss=0.0626
  [ep 2 step 1150/1751] loss=0.0577
  [ep 2 step 1200/1751] loss=0.0523
  [ep 2 step 1250/1751] loss=0.0503
  [ep 2 step 1300/1751] loss=0.0444
  [ep 2 step 1350/1751] loss=0.0499
  [ep 2 step 1400/1751] loss=0.0501
  [ep 2 step 1450/1751] loss=0.0434
  [ep 2 step 1500/1751] loss=0.0437
  [ep 2 step 1550/1751] loss=0.0491
  [ep 2 step 1600/1751] loss=0.0431
  [ep 2 step 1650/1751] loss=0.0485
  [ep 2 step 1700/1751] loss=0.0538
  [ep 2 step 1750/1751] loss=0.0463
[ep 002/60] avg_loss=0.0546 momentum=0.9960 time=11.9min eta=690min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 3 step 0/1751] loss=0.0495
  [ep 3 step 50/1751] loss=0.0413
  [ep 3 step 100/1751] loss=0.0438
  [ep 3 step 150/1751] loss=0.0490
  [ep 3 step 200/1751] loss=0.0532
  [ep 3 step 250/1751] loss=0.0495
  [ep 3 step 300/1751] loss=0.0462
  [ep 3 step 350/1751] loss=0.0467
  [ep 3 step 400/1751] loss=0.0505
  [ep 3 step 450/1751] loss=0.0551
  [ep 3 step 500/1751] loss=0.0517
  [ep 3 step 550/1751] loss=0.0533
  [ep 3 step 600/1751] loss=0.0464
  [ep 3 step 650/1751] loss=0.0480
  [ep 3 step 700/1751] loss=0.0447
  [ep 3 step 750/1751] loss=0.0508
  [ep 3 step 800/1751] loss=0.0464
  [ep 3 step 850/1751] loss=0.0426
  [ep 3 step 900/1751] loss=0.0504
  [ep 3 step 950/1751] loss=0.0443
  [ep 3 step 1000/1751] loss=0.0472
  [ep 3 step 1050/1751] loss=0.0570
  [ep 3 step 1100/1751] loss=0.0446
  [ep 3 step 1150/1751] loss=0.0451
  [ep 3 step 1200/1751] loss=0.0423
  [ep 3 step 1250/1751] loss=0.0474
  [ep 3 step 1300/1751] loss=0.0488
  [ep 3 step 1350/1751] loss=0.0454
  [ep 3 step 1400/1751] loss=0.0412
  [ep 3 step 1450/1751] loss=0.0434
  [ep 3 step 1500/1751] loss=0.0541
  [ep 3 step 1550/1751] loss=0.0512
  [ep 3 step 1600/1751] loss=0.0466
  [ep 3 step 1650/1751] loss=0.0552
  [ep 3 step 1700/1751] loss=0.0542
  [ep 3 step 1750/1751] loss=0.0450
[ep 003/60] avg_loss=0.0491 momentum=0.9960 time=11.8min eta=670min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 4 step 0/1751] loss=0.0478
  [ep 4 step 50/1751] loss=0.0467
  [ep 4 step 100/1751] loss=0.0438
  [ep 4 step 150/1751] loss=0.0489
  [ep 4 step 200/1751] loss=0.0400
  [ep 4 step 250/1751] loss=0.0507
  [ep 4 step 300/1751] loss=0.0503
  [ep 4 step 350/1751] loss=0.0487
  [ep 4 step 400/1751] loss=0.0568
  [ep 4 step 450/1751] loss=0.0489
  [ep 4 step 500/1751] loss=0.0485
  [ep 4 step 550/1751] loss=0.0590
  [ep 4 step 600/1751] loss=0.0527
  [ep 4 step 650/1751] loss=0.0551
  [ep 4 step 700/1751] loss=0.0423
  [ep 4 step 750/1751] loss=0.0526
  [ep 4 step 800/1751] loss=0.0469
  [ep 4 step 850/1751] loss=0.0473
  [ep 4 step 900/1751] loss=0.0554
  [ep 4 step 950/1751] loss=0.0461
  [ep 4 step 1000/1751] loss=0.0508
  [ep 4 step 1050/1751] loss=0.0509
  [ep 4 step 1100/1751] loss=0.0511
  [ep 4 step 1150/1751] loss=0.0533
  [ep 4 step 1200/1751] loss=0.0529
  [ep 4 step 1250/1751] loss=0.0521
  [ep 4 step 1300/1751] loss=0.0473
  [ep 4 step 1350/1751] loss=0.0473
  [ep 4 step 1400/1751] loss=0.0530
  [ep 4 step 1450/1751] loss=0.0489
  [ep 4 step 1500/1751] loss=0.0421
  [ep 4 step 1550/1751] loss=0.0511
  [ep 4 step 1600/1751] loss=0.0540
  [ep 4 step 1650/1751] loss=0.0578
  [ep 4 step 1700/1751] loss=0.0442
  [ep 4 step 1750/1751] loss=0.0493
[ep 004/60] avg_loss=0.0500 momentum=0.9960 time=9.5min eta=534min
  [ep 5 step 0/1751] loss=0.0468
  [ep 5 step 50/1751] loss=0.0489
  [ep 5 step 100/1751] loss=0.0487
  [ep 5 step 150/1751] loss=0.0505
  [ep 5 step 200/1751] loss=0.0473
  [ep 5 step 250/1751] loss=0.0501
  [ep 5 step 300/1751] loss=0.0567
  [ep 5 step 350/1751] loss=0.0490
  [ep 5 step 400/1751] loss=0.0534
  [ep 5 step 450/1751] loss=0.0571
  [ep 5 step 500/1751] loss=0.0516
  [ep 5 step 550/1751] loss=0.0521
  [ep 5 step 600/1751] loss=0.0572
  [ep 5 step 650/1751] loss=0.0461
  [ep 5 step 700/1751] loss=0.0517
  [ep 5 step 750/1751] loss=0.0514
  [ep 5 step 800/1751] loss=0.0565
  [ep 5 step 850/1751] loss=0.0436
  [ep 5 step 900/1751] loss=0.0491
  [ep 5 step 950/1751] loss=0.0485
  [ep 5 step 1000/1751] loss=0.0544
  [ep 5 step 1050/1751] loss=0.0490
  [ep 5 step 1100/1751] loss=0.0501
  [ep 5 step 1150/1751] loss=0.0470
  [ep 5 step 1200/1751] loss=0.0537
  [ep 5 step 1250/1751] loss=0.0536
  [ep 5 step 1300/1751] loss=0.0497
  [ep 5 step 1350/1751] loss=0.0588
  [ep 5 step 1400/1751] loss=0.0584
  [ep 5 step 1450/1751] loss=0.0487
  [ep 5 step 1500/1751] loss=0.0519
  [ep 5 step 1550/1751] loss=0.0502
  [ep 5 step 1600/1751] loss=0.0492
  [ep 5 step 1650/1751] loss=0.0502
  [ep 5 step 1700/1751] loss=0.0537
  [ep 5 step 1750/1751] loss=0.0525
[ep 005/60] avg_loss=0.0514 momentum=0.9960 time=9.5min eta=525min
